Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
The King of Swords,King of swords,9.78178E+12,"Jones, Kelley, 1962-, artist [person] ; Shawnblum, Mark, author [person] ; Hooper, Ken, artist [person] ; Baron, Mike, 1949-, author [person] ; Thompson, Kim, 1956-2013, artist [person] ; Moorcock, Michael, 1939- [person]",Chronicles of Corum ; The Michael Moorcock library,,England,London,Titan Comics,2019,Comic or graphic novel ; Fantasy ; Fiction
The King,,9.78189E+12,"Koslowski, Rich [person]",,,England ; United States of America,"London ; Marietta, Georgia",Diamond ; Top Shelf,2005,Comic or graphic novel ; Detective and mystery ; Fiction
The Kingdom of Hades,,9.78162E+12,"Rantz [person] ; McIntee, David A. [person]",Jason & the Argonauts,,England ; United States of America,"London ; Vancouver, Washington",Bluewater ; Diamond,2010,Comic or graphic novel ; Fantasy ; Fiction
The Kitchen,,9.7814E+12,"Cloonan, Becky, illustrator [person] ; Masters, Ollie, author [person] ; Robins, Clem, 1955-, illustrator [person] ; Doyle, Ming, illustrator [person] ; Bellaire, Jordie, illustrator [person]",,,United States of America,"Burbank, California",DC Comics ; Vertigo,2015,Comic or graphic novel ; Novel
The Klondike,,9.7819E+12,"Worton, Zach, 1977- [person]",,,Canada ; United States of America,Montréal ; New York,"Drawn & Quarterly ; Farrar, Straus & Giroux",2011,Comic or graphic novel ; Historical fiction ; Novel
The Korvac saga,,9.78079E+12,"Michelinie, David [person] ; Shooter, Jim [person] ; Pérez, George, 1954- [person]",Avengers,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,Comic or graphic novel ; Fiction
The Kreeler conspiracy,,9.78191E+12,"Ezquerra, Carlos [person] ; Wagner, John, 1949- [person]",Strontium dog,,England,Oxford,Rebellion,2008,Comic or graphic novel ; Fiction ; Science fiction
The Krusty book,,9.78001E+12,"Groening, Matt [person]",Simpsons library of wisdom,,England,London,HarperCollins,2006,Comic or graphic novel ; Fiction
The Kryptonian,,9.7814E+12,"Taylor, Tom, 1978-, author [person] ; Scott, Nicola, artist [person] ; Scott, Trevor, artist [person]",Earth 2 ; The new 52!,5 [Earth 2],United States of America,New York,DC Comics,2015,Comic or graphic novel ; Fiction ; Science fiction
The Kurosagi corpse delivery service,,,"Ōtsuka, Eiji, 1958- [person] ; Yamazaki, Housui [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2006-,Comic or graphic novel ; Fiction ; Novel
The Lara Croft Tomb Raider compendium,,9.78158E+12,"Jurgens, Dan [person] ; Bonny, James [person] ; Park, Andy, 1975- [person]",,,England ; United States of America,"Berkeley, California ; London",Diamond ; Top Cow,2007,Comic or graphic novel ; Fiction
The Lazarus contract,,9.7814E+12,"Percy, Benjamin, author [person] ; Priest, Christopher J. (Christopher James), 1961-, author [person] ; Abnett, Dan, author [person]",Titans,,United States of America,"Burbank, California",DC Comics,2017,Comic or graphic novel ; Fiction
The League of Extraordinary Gentlemen : Century : 1910,Century : 1910,9780861661602 ; 9781603090001,"O'Neill, Kevin, 1953- [person] ; Moore, Alan, 1953- [person]",,,England,London,Knockabout Comics,2009,Comic or graphic novel ; Fiction ; Science fiction
The League of Extraordinary Gentlemen century 1969,,9.78086E+12,"O'Neill, Kevin, 1953- [person] ; Moore, Alan, 1953- [person]",,,England,London,Knockabout Comics,2011,Comic or graphic novel ; Fiction ; Science fiction
The League of Extraordinary Gentlemen omnibus,Works. Selections,9.7814E+12,"O'Neill, Kevin, 1953-, artist [person] ; Moore, Alan, 1953-, author [person]",,,United States of America,New York,Vertigo,2019,Comic or graphic novel ; Fiction
The League of Extraordinary Gentlemen,"League of Extraordinary Gentlemen, the omnibus edition",9.7814E+12,"O'Neill, Kevin, 1953-, artist [person] ; Moore, Alan, 1953-, author [person]",,,United States of America,New York,DC Comics,2013,Comic or graphic novel
The Left Bank gang,,9.78156E+12,"Jason, 1965- [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2006,Comic or graphic novel ; Fiction ; Novel
The Lionheart papers,,,"Stoneman, Peter, artist ; author [person]",,,England,Ifield,Vanity Kiss Ad,1990-,Comic or graphic novel
The Liverpool demon,,9.78161E+12,"Reppion, John, author [person] ; Triano, Matt, artist [person] ; Moore, Leah, author [person]",Sherlock Holmes,2 [Sherlock Holmes],United States of America,"Mount Laurel, New Jersey",Dynamite Entertainment,2013,Children's fiction ; Comic or graphic novel ; Detective and mystery ; Fiction
The Lone Ranger : the death of Zorro,Death of Zorro ; Lone Ranger/Zorro : the death of Zorro,9.78161E+12,"Polls, Esteve [person] ; Parks, Ande [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2012,Comic or graphic novel ; Fiction
The Loxleys and confederation,,9.78099E+12,"Sinclair, Niigaanwewidam James, author [person] ; Klein, Todd [person] ; St. Aubin, Claude, illustrator [person] ; Zuehlke, Mark, 1955-, author [person] ; Finbow, Alexander, author ; editor [person] ; Chuckry, Chris, illustrator [person]",,,Canada,Canmore,Renegade,2015,Comic or graphic novel ; Novel
The Lychee Light Club,,9.78194E+12,"Furuya, Usumaru [person]",,,England ; United States of America,London ; New York,Turnaround ; Vertical,2011,Comic or graphic novel ; Fiction ; Science fiction
The Macross saga,,9781401200244 ; 9781840237139,"Baron, Mike, 1949- [person] ; Macek, Carl [person] ; Herman, Jack, writer [person] ; Byers, Reggie [person]",Robotech,,England,"La Jolla, California ; London",Titan ; Wildstorm,2003,Comic or graphic novel ; Fiction ; Novel ; Science fiction
The Mad adventures of Captain Klutz,,,"Martin, Don, 1931-2000 [person]",Signet book,,United States of America,New York,New American Library,1967,Comic or graphic novel
The Magdalena origins,Origins,,"Ching, Brian [person] ; Basaldua, Eric [person] ; Benitez, Joe, 1971- [person] ; Holguin, Brian [person] ; Chen, Marcia [person] ; Coney, Malachy [person]",,,United States of America,Los Angeles,Top Cow Productions,2010-2011,Comic or graphic novel
The Magdalena,,,"Marz, Ron [person] ; Cha, Keu [person] ; Blake, Nelson, ii [person] ; Marquez, David [person]",,,United States of America,Los Angeles,Top Cow Productions,2011-2012,Comic or graphic novel ; Fiction ; Young adult fiction
The Magneto war,,9.7813E+12,"Davis, Alan, 1956-, author [person] ; Kelly, Joe, 1971-, author [person] ; Nicieza, Fabian, author [person]",X-men,,United States of America,New York,Marvel Worldwide,2018,Comic or graphic novel ; Fiction ; Science fiction
The Manara library,,,"Fellini, Federico [person] ; Pratt, Hugo [person] ; Pisu, Silverio [person] ; Manara, Milo [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2011-,Comic or graphic novel ; Novel ; Translations into English
The Manzai comics,,,"Imai, Hizuru [person] ; Asano, Atsuko, 1954- [person]",,,United States of America,"Torrance, California",Aurora Publishing,2009-,Comic or graphic novel ; Fiction ; Novel
The Marsupilami thieves,Voleurs du marsupilami. English,9.78185E+12,"Franquin, 1924-1997, artist ; author [person] ; Saincantin, Jerome, translator [person]",Spirou & Fantasio,5 [Spirou & Fantasio],England,"Canterbury, Kent",Cinebook,2013,Children's fiction ; Comic or graphic novel
The Martian confederacy,,,"McNamara, Jason [person] ; Braddock, Paige [person]",,,United States of America,"Sebastopol, California",Girl Twirl Comics,2008-,Comic or graphic novel ; Fiction ; Science fiction
The Marvel Universe kills Deadpool,,9.7813E+12,"Duggan, Gerry, author [person] ; Hawthorne, Mike, artist [person]",The despicable Deadpool,3 [The despicable Deadpool],United States of America,New York,Marvel Worldwide,2018,Comic or graphic novel ; Fiction ; Science fiction
The Marvel family,,,,,,England,London,L. Miller,,Comic or graphic novel
The Marvels project : birth of the super heroes,,9.78079E+12,"Brubaker, Ed [person] ; Epting, Steve [person]",Marvel graphic novel,,England ; United States of America,London ; New York,Diamond ; Marvel,2010,Comic or graphic novel ; Fiction
The Marvels project,,9.78185E+12,"Brubaker, Ed [person] ; Epting, Steve [person]",Marvel graphic novel,,England,Tunbridge Wells,Panini,2010,Comic or graphic novel ; Fiction
The Mask omnibus,,,"Mahnke, Doug [person] ; Arcudi, John [person]",,,England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse ; Diamond,2008-,Comic or graphic novel ; Fiction
The Merlin Stone,,9.78184E+12,"Jurgens, Dan [person] ; Park, Andy, 1975- [person]",Tomb raider,,England,London,Titan,2001,Comic or graphic novel ; Fantasy ; Fiction
The Mice Templar,Destiny ; Midwinter night's dream ; Prophecy,,"Oeming, Michael Avon [person] ; Glass, Bryan J. L. [person]",,,United States of America,"Berkeley, California",Image Comics,2008-,Comic or graphic novel ; Fiction
The Michael Caine is boring illustrated,,,"Dowie, John, 1950- [person]",,,England,Birmingham,John Dowie,1974,Comic or graphic novel
The Michigan frog,,,,,,England,Liverpool,,1986-,Comic or graphic novel
The Midas touch,,9.78178E+12,"Krul, J. T. [person]",Green Arrow,volume 1 [Green Arrow],England,London,Titan,2012,Comic or graphic novel ; Fiction
The Mighty Thor in The shadow of Mangog,Shadow of Mangog,9.78185E+12,"Conway, Gerry, author [person] ; Lee, Stan, 1922-2018, author [person] ; Buscema, John, artist [person]",Marvel pocket book,volume 2 [Marvel pocket book],England,Tunbridge Wells,Panini Publishing,2014,Comic or graphic novel ; Fiction
The Mighty Thor,Thor,,,,,United States of America,New York,Marvel Comics Group,,Comic or graphic novel
The Mighty Thorcules,,9.78079E+12,"Brown, Reilly [person] ; Pak, Greg [person] ; Buchemi, Rodney, 1974- [person] ; Van Lente, Fred [person]",The incredible Hercules,,England ; United States of America,London ; New York,Diamond ; Marvel,2010,Comic or graphic novel ; Fiction
The Mohawk Templar,,9.78161E+12,"Gischler, Victor, 1969-, author [person] ; Mutti, Andrea, 1973-, illustrator [person]",Noir,volume 1 [Noir],United States of America,"Montana Laurel, New Jersey",Dynamite Entertainment,2014,Comic or graphic novel
The Monkees comic album,Monkees,,,,,England,Manchester,World,1968-1968,Comic or graphic novel
The Monolith,Jimmy Palmiotti & Justin Gray present,,"Balsman, Phil [person] ; Chuckry, Chris [person] ; Palmiotti, Jimmy [person] ; Napolitano, Nick [person] ; Gray, Justin, writer [person] ; Winslade, Phil [person]",,,United States of America,"Berkeley, California",Image Comics,2012-,Comic or graphic novel
The Montesi formula,,9.78185E+12,"Englehart, Steve [person] ; Colan, Gene [person] ; Stern, Roger [person] ; Green, Dan, artist [person] ; Leialoha, Steve [person] ; Wolfman, Marv [person]",Doctor Strange ; Marvel pocket book,,England,"Tunbridge Wells, Kent",Panini Publishing,2015,Comic or graphic novel ; Fiction ; Science fiction
The Mueller Report,,9.78168E+12,"Wheeler, Shannon, artist [person] ; Duin, Steve, author [person]",,,United States of America,San Diego,,2020,Comic or graphic novel ; Fiction ; Novel
The Multiversity : the deluxe edition,Multiversity -- ; Multiversity : Mastermen -- ; Multiversity : Pax Americana -- ; Multiversity : Society of Super-heroes -- ; Multiversity : Thunderword Adventures -- ; Multiversity : Ultra Comics ; Multiversity : the Just -- ; Multiversity guidebook --,9.7814E+12,"Hughes, Rian, illustrator [person] ; Reis, Ivan, illustrator [person] ; Cox, Jeromy, illustrator [person] ; Prado, Joe, illustrator [person] ; Leigh, Rob, illustrator [person] ; Morrison, Grant, author [person] ; Wands, Steve, illustrator [person] ; Sinclair, Alex, illustrator [person] ; Hi-Fi Colour Design, illustrator [organisation] ; Klein, Todd, illustrator [person] ; Robins, Clem, 1955-, illustrator [person] ; Stewart, Cameron, approximately 1976-, illustrator [person] ; Sprouse, Chris, illustrator [person] ; Oliver, Ben, illustrator [person] ; Story, Karl C., illustrator [person] ; Siqueira, Paulo, 1982-, illustrator [person] ; Quitely, Frank, 1968-, illustrator [person] ; McCaig, Dave, illustrator [person] ; Brown, Dan, colorist, illustrator [person] ; To, Marcus, illustrator [person] ; Fairbairn, Nathan, illustrator [person] ; Ruffino, Nei, illustrator [person] ; Wong, Walden, illustrator [person] ; Mangual, Carlos M., illustrator [person]",,,United States of America,New York,DC Comics,2015,Comic or graphic novel ; Novel
The Multiversity,,9.7814E+12,"Reis, Ivan, artist [person] ; Morrison, Grant, author [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
The Mummy annual,,,,,,England,Exeter,Pedigree,,Comic or graphic novel ; Periodical
The Muppets omnibus,,9.78079E+12,"Langridge, Roger, author [person]",,,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction
The Nail,,9.78159E+12,"Niles, Steve [person] ; Zombie, Rob, 1965- [person]",,,England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse Comics ; Hi Marketing,2005,Comic or graphic novel ; Fiction ; Horror
The Names,,9.7814E+12,"Calle, Celia [person] ; Fernandez, Leandro, illustrator [person] ; Milligan, Peter [person] ; Peter, Cris, illustrator [person] ; Mangual, Carlos M., illustrator [person]",,,United States of America,New York,DC Comics ; Vertigo,2015,Comic or graphic novel ; Novel ; Suspense fiction
The Nao of Brown,,9.78191E+12,"Dillon, Glyn, 1971-, artist ; author [person]",,,England,London,SelfMadeHero,2012,Comic or graphic novel ; Fiction ; Novel ; Romance fiction
The Navy blues,Bleus de la marine. English,9.78191E+12,"Lambil, Willy, 1936- [person] ; Cauvin, Raoul, 1938- [person]",The bluecoats,number 2 [The bluecoats],England,Ashford,Cinebook,2009,Children's fiction ; Comic or graphic novel ; Novel
The Network,Arcana Studio presents The Network,9.7819E+12,"Morazzo, Martin [person] ; Busbee, Jay [person]",,,Canada,"Coquitlam, British Columbia",Arcana Comics,2010,Comic or graphic novel ; Fiction ; Novel ; Science fiction
The Nevermen : the complete edition,,9.7816E+12,"Amara, Philip [person] ; Stewart, Dave [person] ; Jackson, Dan, 1971- [person] ; Davis, Guy, 1966- [person]",,,England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse ; Diamond,2009,Comic or graphic novel ; Fiction ; Science fiction
The New Avengers : Illuminati,,9.78079E+12,"Reed, Brian, 1973- [person] ; Bendis, Brian Michael [person] ; Cheung, Jim [person]",,,England ; United States of America,London ; New York,Diamond ; Marvel,2008,Comic or graphic novel
The New Ghostbusters,,9.78163E+12,"Delgado, Luis Antonio, 1982-, artist [person] ; Schoening, Dan, artist [person] ; Burnham, Erik, author [person]",,,United States of America,"San Diego, California",,2016,Comic or graphic novel ; Novel
The New York Four,,9.78162E+12,"Kelly, Ryan, 1976-, artist [person] ; Wood, Brian, author [person]",Minx,,United States of America,Milwaukie,Dark Horse,2014,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
The New York five,New York 5,9780857688866 ; 9781401232917,"Kelly, Ryan, 1976- [person] ; Wood, Brian, 1972- [person]",,,United States of America,New York,DC Comics,2011,Comic or graphic novel ; Fiction ; Novel
The Nicodemus job,,9.78168E+12,"Clevinger, Brian, 1978-, author [person] ; McClaren, Meredith, artist [person]",Atomic Robo ; Real science adventures,,United States of America,San Diego,,2019,Comic or graphic novel ; Fiction ; Science fiction
The Nieuport gathering : based on true stories,,9.78902E+12,"Petrus, Ivan [person]",,,Belgium,Tielt,Lannoo,2011,Comic or graphic novel ; Novel
The Nikopol trilogy,Trilogie Nikopol. English,9.78178E+12,"Gauvin, Edward, translator [person] ; Bilal, Enki, artist ; author [person]",,,England,London,Titan Comics,2016,Comic or graphic novel ; Novel
The Ninjettes,,9.78161E+12,"Ewing, Al, author [person] ; Casallos, Eman, artist [person]",,,United States of America,"Runnemede, New Jersey",Dynamite Entertainment,2012,Comic or graphic novel ; Suspense
The Nye incidents : inspired by true events : based on a story by Whitley Strieber and Craig Spector,,9.78193E+12,"O'Sullivan, Mike [person] ; Spector, Craig [person] ; Floor, Guus [person]",,,United States of America,"Chicago, Illinois",Devil's Due Pub,2008,Comic or graphic novel ; Science fiction
